,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=PI_JLN_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
18400,0.4313953953953954,-0.5931986051486483,0.9881428611206504,2.290573500940983,41.9974358974359,0.001697792869269949,3.6851949123593264,0.9913310624553326,51.9489299610895,599,3.9084523072159083,102.9633431085044,399,2.4615453314393836,1.00322645789402,0.001669449081803005,0.002506265664160401,22.31776
18425,0.41275475475475476,-0.6287922088790832,0.9861183192592556,2.3891143782103117,38.8513281100707,0.001763668430335097,3.6253068652127878,0.989877334833706,48.7772466539197,574,3.8808131046931695,98.97032742155525,424,2.4397869718121274,1.0038119315918135,0.0017421602787456446,0.0023584905660377358,22.34964
18450,0.3966986986986987,-0.664178142992005,0.9842998521329693,2.481227832009014,37.15047619047619,0.001841620626151013,3.4556837187356546,0.9888317495243526,46.92001915708812,549,3.796628855888181,95.06500956022944,449,2.4718975800383496,1.004604183757178,0.0018214936247723133,0.0022271714922048997,22.34964
18475,0.3794634634634635,-0.6979796859540649,0.9817612982874508,2.5872353805203154,33.3246776504298,0.0019305019305019305,3.376353775377275,0.9872218294625993,42.058889638120924,524,3.713179723446271,91.74207061639737,474,2.497612197054968,1.005561974366553,0.0019083969465648854,0.002109704641350211,22.20617
18500,0.3664784784784785,-0.7331227902426078,0.9793778952888733,2.672402208596234,31.23362369337979,0.002012072434607646,3.2758148477266413,0.9859551175596539,39.606100504718015,500,3.6199663624699974,91.00814190171562,499,2.544938259650762,1.0067157144371128,0.002,0.002004008016032064,22.0467
18525,0.35243043043043043,-0.7655940867092762,0.9762382199398997,2.7700168193410546,28.205481700311832,0.0019157088122605363,3.2104494496923337,0.9837138361385829,36.107589658048376,474,3.5358500926809917,89.20122802121128,524,2.552615646049704,1.0076575737827018,0.002109704641350211,0.0019083969465648854,22.12644
18550,0.33958958958958957,-0.796147609167977,0.9732173913043478,2.865863445580084,25.22646699266504,0.0018281535648994515,3.1215035529921784,0.9816477523949889,32.477472205968404,450,3.4528794960866778,83.76292105939831,549,2.5022036520960573,1.00866236173538,0.0022222222222222222,0.0018214936247723133,22.17428
18575,0.32964564564564564,-0.8226448573554083,0.9693060768380523,2.940448598796336,23.66256486286138,0.0017482517482517483,3.0502758604191995,0.978324770129602,31.050308404009254,423,3.422689216738971,76.66767161410019,574,2.465884746694182,1.0093042780882684,0.002364066193853428,0.0017421602787456446,21.93504
18600,0.321995995995996,-0.8392757044913354,0.96693546882869,3.0029425236726044,21.79969161760583,0.0016750418760469012,2.9949419783267186,0.9769642557371749,28.66849115124977,400,3.3515570305317612,72.43216298222801,599,2.4842309295972735,1.0103717230692069,0.0025,0.001669449081803005,21.96695
18625,0.31376176176176174,-0.9143258124862647,0.9631454021081647,3.069671067309591,19.911357340720222,0.001607717041800643,2.9470593076028564,0.9740882060182231,26.444309717651134,375,3.3020989233667883,68.74008541793776,624,2.5230691189139747,1.0113615284733815,0.0026666666666666666,0.0016025641025641025,21.90314
18650,0.3059099099099099,-1.0475159569757686,0.9589272391722622,3.1346720328696285,18.32033008252063,0.0015455950540958269,2.9024534332871297,0.9704715906859858,24.78522480361023,350,3.2769313283569197,64.8915685529814,649,2.4947314437474395,1.012038819049179,0.002857142857142857,0.0015408320493066256,21.74357
18675,0.2995975975975976,-1.2851460163592432,0.9554824957066201,3.1892194842962986,16.72558193940812,0.001488095238095238,2.862333418650963,0.9676242407232925,22.742893042249097,325,3.2291784670914914,61.19275182092734,674,2.460065092219139,1.0127074489289236,0.003076923076923077,0.001483679525222552,21.82336
18700,0.288972972972973,-1.3264207761544653,0.9501600365797896,3.2880584879771995,15.127729980145599,0.0014347202295552368,2.801428561903729,0.9639744495711574,20.662607662607662,300,3.163692601879163,58.467202141900934,699,2.488235937126822,1.014539038119404,0.0033333333333333335,0.001430615164520744,21.67973
18725,0.2847907907907908,-1.3757791839107318,0.9462788131006025,3.322715634424237,14.119047619047619,0.0013850415512465374,2.7783311821864025,0.9619410486949309,19.453938015353994,275,3.124950307973943,56.253042921204354,724,2.495409680664534,1.0165513962454777,0.0036363636363636364,0.0013812154696132596,21.75953
18750,0.2838018018018018,-1.387543718908553,0.9431429397780741,3.323245073816463,13.399378632992583,0.0013386880856760374,2.7472637973167586,0.9603270339096636,18.587520480611687,250,3.1169349148280854,55.052961454089626,749,2.498411477536309,1.0182200315634373,0.004,0.0013351134846461949,21.87123
18775,0.27712112112112114,-1.4359229186233995,0.9366141220326248,3.3798005660610024,12.345077128166064,0.0012953367875647669,2.70069121324846,0.9562497290893066,16.83831573591146,243,2.996843689901885,51.98415027883769,774,2.5069258424545415,1.0209644576082932,0.00411522633744856,0.0012919896640826874,21.71165
18800,0.27254054054054055,-1.4295295154383452,0.9299734085533371,3.412238805679638,11.489336600417461,0.0013297872340425532,2.6755504309272204,0.9517313823144843,15.58933942967152,226,2.9457322642820847,49.50187734668335,799,2.521880666299442,1.0233963396813612,0.004424778761061947,0.0012515644555694619,21.64781
18825,0.2743003003003003,-1.3997534398068026,0.928101712976141,3.3835242322376886,11.07779423294712,0.0013297872340425532,2.655938078633126,0.9515666396619299,14.927524616441493,251,2.910913855317291,47.73667922497309,824,2.5201421977560274,1.0252827102436262,0.00398406374501992,0.0012135922330097086,21.45622
18850,0.2694974974974975,-1.5255279213208133,0.9213306194006567,3.4186982363693823,10.296720630967206,0.001584786053882726,2.6498700062099108,0.9457337275469119,13.959320175438597,230,2.8987415955960105,45.38263747454175,851,2.5624536470086228,1.0264868090047086,0.004347826086956522,0.0011750881316098707,21.53605
18875,0.2564804804804805,-1.5031098799052482,0.912865305357812,3.559199919025751,9.178949846950788,0.0023584905660377358,2.6195957250725885,0.9398417010116148,12.500519102990033,211,2.8646148019049216,43.82674404546004,876,2.564306275868083,1.0295513428930558,0.004739336492890996,0.001141552511415525,21.58395
18900,0.25360560560560563,-1.463883775699875,0.9067937099371626,3.575605940459224,8.479294308703034,0.002570694087403599,2.590694297899574,0.9354731756607408,11.47496852909848,211,2.782257804131905,42.50316085225943,901,2.5379062802186145,1.0316273320042832,0.004739336492890996,0.0011098779134295228,21.2965
18925,0.2409169169169169,-1.4582039144172922,0.8955857667569679,3.7174050631978717,7.481638320027768,0.0025974025974025974,2.5121562288493418,0.9262577074573285,10.282656826568266,211,2.7336857252886047,39.93774361195322,926,2.5218431975863864,1.034247909958895,0.004739336492890996,0.0010799136069114472,21.47218
18950,0.22773173173173172,-1.5066629479830764,0.8818570222941136,3.872350223608462,6.640166810088038,0.0078125,2.434958371159599,0.9175487024403967,9.176455072973448,153,2.6710523671751574,38.36597094331901,949,2.5393257484236966,1.0404733185130541,0.006535947712418301,0.001053740779768177,21.44025
18975,0.21265265265265265,-1.5155846032149352,0.8650536622105065,4.067918511336359,5.856714895786857,0.00847457627118644,2.3301841637546583,0.9065241950668425,8.164405629981346,153,2.5910781474304865,36.75004810467578,974,2.526892633061633,1.0479398384955272,0.006535947712418301,0.001026694045174538,21.2326
19000,0.17365565565565566,-1.5333169170454646,0.8185517805881878,4.713648844304306,4.477079260987452,0.016666666666666666,2.031085968110936,0.8756182197576694,6.17747051647011,117,2.365016005611991,35.84911904123066,999,2.5083068209531127,1.069716346018422,0.008547008547008548,0.001001001001001001,21.2326
19025,0.16761761761761762,-1.5602320533967917,0.8026754255001493,4.788729471929824,4.203139658515229,0.022727272727272728,1.9479164723032698,0.8663601074947745,5.738607594936709,77,2.3070321788219172,34.31001954618849,978,2.4927062171491925,1.0793405154455091,0.012987012987012988,0.0010224948875255625,21.28052
19050,0.17393993993993995,-1.5729122108953557,0.8058653591611707,4.633009298723626,4.2625106538414705,0.022727272727272728,1.9701528753456627,0.8690652947066745,5.8764884426803645,77,2.3364233964038585,32.98286796804217,969,2.484063961448383,1.0784249314442413,0.012987012987012988,0.0010319917440660474,21.12075
19075,0.16649249249249248,-1.5761823040599976,0.7885958899991583,4.736525222209151,4.002319052849994,0.02631578947368421,1.884316528560456,0.8596130490723037,5.517752392713801,65,2.281317686833054,32.13603116552711,975,2.4630729973787897,1.0900551980726418,0.015384615384615385,0.0010256410256410256,21.13673
19100,0.17202202202202202,-1.5547265146665123,0.7917951702065755,4.602870963260803,4.020743454878553,0.02631578947368421,1.8913821169393656,0.8635437881873728,5.514268727705113,65,2.282879843927172,31.219032057267352,894,2.4551090040830665,1.090615124568237,0.015384615384615385,0.0011185682326621924,21.0728
19125,0.1634054054054054,-1.5819619507950633,0.7733058894157141,4.732437629570199,3.757918552036199,0.029411764705882353,1.7871107799227772,0.8523051665625268,5.103514048859218,47,2.2033541965391987,30.52435810556434,919,2.4469973313895923,1.1021578630501598,0.02127659574468085,0.001088139281828074,21.31247
19150,0.16685885885885887,-1.5716995803888123,0.7727065486046121,4.630899155664383,3.7708296738684934,0.029411764705882353,1.7932949144303505,0.8498548220670458,5.131266299623298,47,2.2070128669200617,29.652087621287855,943,2.442650332255251,1.0998416198254712,0.02127659574468085,0.0010604453870625664,21.08879
19175,0.1713013013013013,-1.5403691707009026,0.7736107053117512,4.516081894503825,3.766801342969328,0.029411764705882353,1.7918108425310315,0.850032139309297,5.118437719915552,47,2.2028758264522197,28.64237227581279,968,2.412637885701885,1.0987853884037828,0.02127659574468085,0.0010330578512396695,20.99289
19200,0.1734934934934935,-1.5527619481589179,0.7716939764597277,4.4479707043807295,3.7437720427699714,0.029411764705882353,1.780379195989798,0.8473344103392568,5.08799889135255,47,2.1915723463456063,27.957860842783145,993,2.423938526438843,1.0980186915887848,0.02127659574468085,0.0010070493454179255,21.10477
19225,0.1617917917917918,-1.588521972539666,0.743649075047949,4.596333762128943,3.509577201588414,0.03571428571428571,1.6747503936441837,0.8252428385819465,4.6368629632204685,36,2.084162238151409,27.413636671406323,942,2.4088759227400693,1.1097207893773504,0.027777777777777776,0.0010615711252653928,21.04084
19250,0.1656776776776777,-1.608210029496169,0.7474986707912418,4.511764537438074,3.5012451890423364,0.03571428571428571,1.6696749968231672,0.8277949635071777,4.642203699939012,36,2.084550416409281,26.682327214896297,967,2.386423578788089,1.1074199806013578,0.027777777777777776,0.001034126163391934,20.86499
19275,0.1684144144144144,-1.6117087762132227,0.7437799412764642,4.41636746986667,3.495084348117529,0.034482758620689655,1.6658101080913292,0.8228427421751483,4.599335548172758,36,2.068108962396451,25.713570741097207,906,2.3835761941138123,1.106298646294491,0.027777777777777776,0.0011037527593818985,20.80103
19300,0.17115915915915916,-1.5772601194554319,0.7461108381874751,4.359163960917068,3.4811176598995854,0.034482758620689655,1.6586384846730848,0.8233443282569537,4.575598023920957,36,2.0616996044373104,25.02557192102789,918,2.3775327419512364,1.1035147676678998,0.027777777777777776,0.0010893246187363835,20.92895
19325,0.17418018018018017,-1.554928937142452,0.748100640207809,4.294981434936734,3.4776127377644794,0.034482758620689655,1.6574135301969621,0.824431341447996,4.592649506979127,36,2.0681176690445344,24.50896653725273,943,2.376273905453599,1.1020326639728362,0.027777777777777776,0.0010604453870625664,20.91296
19350,0.16147147147147148,-1.5031660918731982,0.7202653276300292,4.460635188781843,3.2495944509705206,0.038461538461538464,1.5376253073025439,0.8054677329365817,4.153506809027556,30,1.9227029604090558,24.204541369600385,968,2.366560571157582,1.1182930817826588,0.03333333333333333,0.0010330578512396695,20.94493
19375,0.16393193193193192,-1.5007233081975602,0.7189805090127498,4.385847836596509,3.251753659210163,0.038461538461538464,1.5386595774788079,0.8042963216257144,4.162232193642167,30,1.9253581260835373,23.781329394387,941,2.377108461767516,1.118662205085523,0.03333333333333333,0.0010626992561105207,20.75306
19400,0.16601801801801802,-1.4998562540994351,0.7162771627716277,4.3144543665970625,3.2557553168164874,0.038461538461538464,1.5416409376523388,0.7995924076887828,4.1918700214945,30,1.9384130008757459,23.326490258796163,937,2.3652461087347,1.1163170477120443,0.03333333333333333,0.0010672358591248667,20.86499
19425,0.16951351351351351,-1.4803408057421736,0.7156557067271353,4.2218209739961745,3.2498122921806285,0.038461538461538464,1.5386455132146197,0.7955522486772487,4.184692799900603,30,1.9353218573377724,22.7361728817425,962,2.3441674675121527,1.1116410324113803,0.03333333333333333,0.0010395010395010396,20.84901
19450,0.17305905905905905,-1.463203076049109,0.7168076073250581,4.141982576482382,3.2689527829068847,0.038461538461538464,1.549775221497849,0.7991393172379487,4.246634290280937,30,1.9525111872463214,22.52400681044268,883,2.3507434375079415,1.1148588673886028,0.03333333333333333,0.0011325028312570782,20.70508
19475,0.15941541541541543,-1.4288868192830093,0.6800246144572261,4.265739374609238,3.0528838022213454,0.05,1.4176953862091288,0.7671924448686391,3.8200350175087543,26,1.8036045452337621,21.978920420502206,908,2.3336201641338135,1.1281833459528339,0.038461538461538464,0.0011013215859030838,20.41709
19500,0.16194394394394396,-1.467888301548911,0.6752296299959204,4.169526896477509,3.040187019926528,0.05,1.409111986507042,0.7633111223745535,3.7739135749648556,26,1.7832015020629084,21.061193482474984,933,2.3220053956732,1.1304467228121569,0.038461538461538464,0.0010718113612004287,21.02486
19525,0.1659179179179179,-1.5518554232843902,0.6735966986823688,4.059818898014422,3.031002280377891,0.05,1.4030770852738497,0.7606665379603262,3.7848823246878003,26,1.7887801814095754,20.29963935592015,958,2.324706904272733,1.1292610837438424,0.038461538461538464,0.0010438413361169101,20.70508
19550,0.1695055055055055,-1.516753638245297,0.6751783436481316,3.983223681346456,3.0352553891897633,0.05,1.4063037151682334,0.7632517598148061,3.791539544707815,26,1.7960611321703155,19.768825226300606,983,2.3222783302820225,1.130444669908687,0.038461538461538464,0.001017293997965412,20.6251
19575,0.17316716716716718,-1.482638688128272,0.6750985583315028,3.8985367109447218,3.031407361262524,0.05,1.4038800283416366,0.7635987375284692,3.771211602146854,26,1.7852824648383203,19.265428487861946,959,2.30876103138917,1.1310922355036477,0.038461538461538464,0.0010427528675703858,20.6411
19600,0.1747847847847848,-1.4689295611588942,0.6729969646641086,3.850432207201446,3.032567741935484,0.05,1.4049679498181025,0.7616974972796517,3.764932344448848,26,1.7834771063854582,18.998554286540408,984,2.3133535808551886,1.131799305602832,0.038461538461538464,0.0010162601626016261,20.68908
19625,0.15651051051051051,-1.4205890505904444,0.6240966013021733,3.987569903557767,2.8402607986960065,0.058823529411764705,1.265909654340281,0.7220282180180871,3.3985188753085676,24,1.6151597715458128,18.49213750228561,951,2.3208942203487797,1.1569174011067842,0.041666666666666664,0.0010515247108307045,20.49711
19650,0.15824624624624625,-1.439624216443593,0.6226026010829412,3.934390962513652,2.8445176579388476,0.058823529411764705,1.269262861871517,0.7223698193411264,3.3866548042704627,24,1.6076120663375704,18.19923337091319,976,2.301925372397345,1.1602422124235465,0.041666666666666664,0.0010245901639344263,20.40109
19675,0.16009409409409409,-1.5078920952241155,0.6206310102917454,3.8766639944067784,2.845593715956654,0.058823529411764705,1.2704012308492534,0.7165955956832193,3.391772713820657,24,1.61239917565417,17.92772749565295,844,2.2977996673593712,1.1546242192222445,0.041666666666666664,0.001184834123222749,20.52911
19700,0.16184584584584585,-1.5240190036535046,0.6203705994408847,3.83309559907872,2.8380963159979626,0.058823529411764705,1.2648325049755211,0.7211474233690408,3.382201079074085,24,1.606135099167526,17.518023915510167,869,2.30217326015087,1.1624461636624661,0.041666666666666664,0.0011507479861910242,20.32106
19725,0.16277077077077076,-1.520186753170261,0.6182229656597461,3.798120281253606,2.83018018018018,0.058823529411764705,1.258601925424229,0.7197185870313884,3.3892846799884158,24,1.6102883809075157,17.31133949391139,894,2.309583578630269,1.1641731656851824,0.041666666666666664,0.0011185682326621924,20.59311
19750,0.16542742742742741,-1.5295047284866237,0.6161731069453353,3.724733658302514,2.8235913930789707,0.058823529411764705,1.2534998994133708,0.714562331328436,3.3628545392413716,24,1.5957750795533134,17.05263382931418,919,2.304969447207521,1.1596778945300992,0.041666666666666664,0.001088139281828074,20.28904
19775,0.16793193193193193,-1.5292981748062273,0.6184163467728476,3.6825417278204786,2.8301598559659555,0.058823529411764705,1.2588084010056653,0.7147659807825278,3.379706877113867,24,1.6049831840211122,16.881074875632468,944,2.3034833475336836,1.1558005937463853,0.041666666666666664,0.001059322033898305,20.40109
19800,0.17123723723723724,-1.526318826564893,0.6191528415933032,3.615760517880291,2.8229211087420043,0.058823529411764705,1.253056885050626,0.7135842306478202,3.348971193415638,24,1.5877443729590612,16.423967732546053,967,2.288947385765501,1.1525170890139356,0.041666666666666664,0.001034126163391934,20.35307
