,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_FHJ_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
9025,0.18732932932932933,-0.054936744020910956,0.34324737365209307,1.8323205174596882,2.2485298235788296,0.125,0.6229815355571039,0.4326874779579143,2.4108014767178756,7,0.8414108598914091,7.1863741126578775,586,2.625990507853762,1.2605703966623076,0.14285714285714285,0.0017064846416382253,22.41339
9050,0.1868048048048048,-0.07833238877582788,0.3451864236032966,1.847845530333051,2.250017464198393,0.125,0.6253929397548916,0.43765338820478195,2.4226981490270525,7,0.857368741469918,7.2300492976018385,611,2.6351119601648967,1.2678754385420223,0.14285714285714285,0.0016366612111292963,22.38152
9075,0.18614414414414415,-0.08620512231291508,0.3441852461308467,1.8490253760780169,2.2485947161326587,0.125,0.6230812449018147,0.4275158906849934,2.4127465857359636,7,0.8450793530908008,7.216926519817271,636,2.623667513353681,1.2421098681332419,0.14285714285714285,0.0015723270440251573,22.30182
9100,0.18915315315315315,-0.049670618698411814,0.34664803877987344,1.8326315633723544,2.2497595823602143,0.125,0.6249947974276061,0.4267797040706166,2.392204556241101,7,0.8184337818042161,7.064368317695832,661,2.5962612371061606,1.2311614557889594,0.14285714285714285,0.0015128593040847202,22.44526
9125,0.18844444444444444,-0.04722599064721176,0.3446689614142444,1.8290216112784197,2.2473676918814074,0.125,0.621111715388078,0.42182984871664114,2.3897682816731867,7,0.8173527526593155,7.045149138852165,686,2.597271715900839,1.22386955583639,0.14285714285714285,0.0014577259475218659,22.0467
9150,0.1903003003003003,-0.04505217416519727,0.34812476987007523,1.829344301195125,2.2530809559474365,0.125,0.6303365682439062,0.4233443795697228,2.3931608682723757,7,0.8204648929251281,7.039826147047592,711,2.592772545966348,1.2160708349702336,0.14285714285714285,0.0014064697609001407,22.38152
9175,0.19063263263263264,-0.045921160709539714,0.3490826603375306,1.831179979611604,2.2500507682935083,0.125,0.6254873686150527,0.4209575618823579,2.3825487398953875,7,0.8076670724426172,6.974658693851086,736,2.594304481429263,1.20589651022864,0.14285714285714285,0.001358695652173913,22.22211
9200,0.19023023023023022,-0.05784915043580889,0.3478320353609766,1.828479285022183,2.2474500203998367,0.125,0.6213067809724767,0.4215849294885287,2.364618381441473,7,0.7842245114289207,6.954410129488145,761,2.5873807368253505,1.2120359444494873,0.14285714285714285,0.001314060446780552,22.20617
9225,0.19132332332332333,-0.0505047543877556,0.34880606073289666,1.8231235725685064,2.2475895084620054,0.125,0.6215350006089241,0.415670845279702,2.3503934678421396,7,0.7647417972834941,6.849075303070525,786,2.567620715107122,1.1916961660766785,0.14285714285714285,0.001272264631043257,22.31776
9250,0.19247247247247248,-0.052857782298556526,0.35147701268982734,1.8261157461885662,2.247339718010109,0.125,0.6211328812754384,0.4163199500728105,2.3442075670610283,7,0.7547658110609384,6.767232627341151,811,2.558694404348768,1.1844869935781717,0.14285714285714285,0.0012330456226880395,22.11049
