,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_JLN_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
1850,0.20076076076076077,-0.012058728233913959,0.3595931392102114,1.7911525033456381,2.248129675810474,0.125,0.6221918392670684,0.41616473873155163,2.3693085045986146,7,0.790781715792177,6.3893159108378175,583,2.5206821963063932,1.1573211314475873,0.14285714285714285,0.0017152658662092624,18.3963
1875,0.20048448448448447,-0.019947966924577416,0.36080765313255175,1.79967868366629,2.2509344629952652,0.125,0.6267589161248411,0.4229094685546524,2.3726050420168066,7,0.7938786644148816,6.440897150939584,583,2.5329189153274676,1.172118897376287,0.14285714285714285,0.0017152658662092624,18.13907
1900,0.20273873873873874,0.003180103766902279,0.3623355847849271,1.787204493029102,2.2513805374892626,0.125,0.627488950631287,0.424971363115693,2.3635764499121263,7,0.7825808926434961,6.343591449721368,570,2.518991334377964,1.1728667593273923,0.14285714285714285,0.0017543859649122807,18.60519
1925,0.2025125125125125,0.019088958393670672,0.36311601008353517,1.7930546887126273,2.253159121580174,0.125,0.6302961200609731,0.42934111017745047,2.368564572425829,7,0.7915604369662992,6.35473771856786,570,2.5188299401072234,1.1823800059894913,0.14285714285714285,0.0017543859649122807,18.50879
1950,0.20261061061061061,0.023824780805663005,0.3614778072012964,1.7841010700866324,2.2501537704514702,0.1,0.6253173711325813,0.4246571281767519,2.3502679645630535,7,0.767184707390706,6.31595843261848,570,2.5109434896663254,1.1747806358144492,0.14285714285714285,0.0017543859649122807,18.44451
1975,0.20064064064064063,0.005047430694247588,0.35934943125124724,1.7910101866892636,2.2472232621989265,0.1,0.6205738225049057,0.42967471562562365,2.345808138584736,7,0.7619326296378249,6.384976760457794,570,2.523845132775057,1.1957016715721664,0.14285714285714285,0.0017543859649122807,18.42844
2000,0.19882282282282282,-0.005977668143983773,0.3568753020782987,1.7949413302331059,2.2467194928684626,0.1,0.6196966264177837,0.41910343160947316,2.338445980111242,7,0.7520690491668096,6.360361254466058,570,2.517988676800356,1.174369392246487,0.14285714285714285,0.0017543859649122807,18.44451
2025,0.1975975975975976,-0.016224688281372728,0.35315096251266465,1.7872229561811144,2.2444301352221507,0.1,0.6159626670330979,0.411661600810537,2.326690717517036,7,0.7352398254214035,6.330925685769161,570,2.5093999644954548,1.165681661693826,0.14285714285714285,0.0017543859649122807,18.47665
2050,0.19905705705705706,-0.0019537711508195695,0.35727001176719064,1.7948120857869607,2.247722095671982,0.1,0.6213728244413911,0.4140743646219916,2.3276232473993668,7,0.7368363674748818,6.291306267270557,570,2.502829159186809,1.1589955803282381,0.14285714285714285,0.0017543859649122807,18.2677
2075,0.1988208208208208,0.005192802621009972,0.3562445247757046,1.7917868123920258,2.249284760633225,0.1,0.6240104715020723,0.41038757035977885,2.31778889899909,7,0.7236301377571221,6.273914319248826,570,2.500519975540685,1.151982814664066,0.14285714285714285,0.0017543859649122807,18.44451
2100,0.19892892892892894,0.007316376626949094,0.35718814471896543,1.7955565670721403,2.249318714747449,0.1,0.6240717349226647,0.4101041614250491,2.311794406308504,7,0.7150704466611287,6.248109318705573,570,2.4935909516444688,1.148146061084188,0.14285714285714285,0.0017543859649122807,18.54093
2125,0.19794594594594594,0.009631713709959673,0.356575034892894,1.801375790693211,2.248899661925113,0.1,0.6234169105049705,0.40593078058943705,2.302564396764385,7,0.7019358255253497,6.297815950920246,570,2.502276857034483,1.138416156115271,0.14285714285714285,0.0017543859649122807,18.38022
2150,0.1976976976976977,0.0044830641131389905,0.3569518987341772,1.805544034609838,2.2484531479237098,0.1,0.6227323203111171,0.40674430379746834,2.286446177491888,7,0.6783138120959407,6.296136497352422,570,2.5017842551612817,1.1394933189594032,0.14285714285714285,0.0017543859649122807,18.58912
2175,0.19721721721721722,0.008618744408441731,0.35505024870571517,1.8003004692772786,2.249983917658411,0.1,0.6252025050386679,0.3961628261090245,2.287439188793154,7,0.6810331800257019,6.286633566342196,526,2.4979349983101184,1.1157936870997256,0.14285714285714285,0.0019011406844106464,18.54093
2200,0.19484684684684686,0.002730223331381389,0.348889299878758,1.790582221497232,2.243689705299326,0.1,0.6150095225129514,0.39077944228674766,2.2797458490679134,7,0.6695214911085705,6.350564419395652,526,2.5082641801288443,1.120067145717988,0.14285714285714285,0.0019011406844106464,18.44451
2225,0.19412812812812813,0.004071114826248236,0.34716965565604796,1.7883531820123955,2.241129085946342,0.1,0.6107617614482416,0.3822743820062495,2.281669333989905,7,0.6713843053383997,6.402161839553043,526,2.5164507080778207,1.1011169201520912,0.14285714285714285,0.0019011406844106464,18.52486
