,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_BDF_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
2425,0.2010970970970971,0.0030292538319727736,0.3594994424976107,1.7876908602217716,2.2631611932815243,0.125,0.6460088530913001,0.4242493628544122,2.4043669600541637,8,0.8269718922710595,6.634026372706342,446,2.566354357858845,1.1801113234194567,0.125,0.002242152466367713,18.23555
2450,0.20113713713713713,-0.009053832947218624,0.3600151291953657,1.7898988437421386,2.261614456324642,0.125,0.643543004257592,0.42618545208424574,2.3999775797320777,8,0.8211814494701948,6.658209216751358,446,2.564505130155881,1.183798728227813,0.125,0.002242152466367713,18.31593
2475,0.20135935935935936,-0.027010670473419072,0.36098986866045596,1.7927642887272468,2.2652857499376093,0.125,0.6492178410487401,0.42874755167579714,2.4151778213385606,8,0.8400448011374542,6.698624095960487,446,2.5792980996704253,1.1876996805111821,0.125,0.002242152466367713,18.38022
2500,0.2016976976976977,-0.025833833387905916,0.3619327430817485,1.7944317025581986,2.266252330640149,0.125,0.650740804795342,0.42579505300353354,2.422931375317707,8,0.8495971518335885,6.708175477109372,446,2.5797453827239742,1.1764480035103115,0.125,0.002242152466367713,18.31593
2525,0.20161961961961963,-0.026057885076782646,0.3626786086645682,1.798825974122986,2.269056345902963,0.125,0.6551451921022949,0.42194838594365947,2.4220005699629525,8,0.8491909506486844,6.762376060741403,446,2.5913384827072576,1.1634223134839152,0.125,0.002242152466367713,18.47665
2550,0.20337537537537537,-0.009268865446139666,0.366044533695588,1.7998468743817673,2.270423739162291,0.125,0.6572953728062575,0.42981316323115387,2.4204778535395532,8,0.8468377900627034,6.731809510225186,446,2.58468267605899,1.1742100309264487,0.125,0.002242152466367713,18.44451
2575,0.2036156156156156,-0.018908291584709046,0.3670776552022496,1.8027971680483323,2.2723067559342667,0.125,0.6601889033377834,0.43206890448941065,2.418891396488138,8,0.8464577229887046,6.741035358049408,446,2.5847906647308574,1.1770504098141106,0.125,0.002242152466367713,18.34808
2600,0.20544744744744745,-0.007143306467233791,0.368238469708929,1.7923730583370854,2.2765829266823303,0.125,0.666735264500041,0.43781487219964726,2.4176173052087817,8,0.8437025116446187,6.677646641228148,446,2.567410430010834,1.1889438725555055,0.125,0.002242152466367713,18.21947
2625,0.20426026026026026,-0.015028536539646193,0.3652232720429686,1.7880290154218728,2.273104373818093,0.125,0.6614433633258765,0.42783353589210804,2.407799658006509,8,0.8322782786194399,6.691430601189948,446,2.5701588534111286,1.171430104929823,0.125,0.002242152466367713,18.36415
2650,0.203001001001001,-0.02618371396633204,0.36258740224262564,1.786136031126456,2.2692260214788296,0.125,0.6555310939551492,0.417045532993422,2.3982305903703285,8,0.8207332672787214,6.6645071317610505,446,2.568948558283407,1.1501931132024152,0.125,0.002242152466367713,18.38022
2675,0.20488488488488488,-0.015044144502388581,0.36531170607777996,1.7830095484253576,2.274087591240876,0.125,0.6629900671100766,0.4276920070353723,2.3800978792822187,8,0.7982440011699009,6.635065576082358,446,2.558695717926436,1.1707591076873696,0.125,0.002242152466367713,18.20339
2700,0.2068988988988989,0.0009423896879142205,0.3662841329127397,1.770353224990938,2.2752900162288876,0.125,0.6647802009836106,0.4264896561066708,2.3777310244376113,8,0.794859353657929,6.562603931453378,446,2.5408091046921886,1.1643683626565224,0.125,0.002242152466367713,18.13907
2725,0.20717717717717718,0.0008198260654279794,0.36678745711938926,1.7704047430171999,2.272466024067533,0.125,0.6604800570608479,0.4289993718896458,2.3689967982924225,8,0.7847276042362816,6.569048078441003,446,2.5409400222463434,1.1696129831124693,0.125,0.002242152466367713,18.34808
2750,0.20844844844844845,0.006982434434099284,0.3678447944679216,1.7646799350434772,2.268285460467871,0.125,0.6540692870084335,0.4400595466769113,2.380826188620421,8,0.8052020098310274,6.647782505741806,446,2.5507180652160084,1.196318537859008,0.125,0.002242152466367713,18.46058
2775,0.20875875875875877,-0.0048455499585868,0.3676528410453129,1.7611373205670944,2.2699390135591213,0.125,0.6565111770945911,0.440402781107648,2.3832580829311327,8,0.8071296639575214,6.606703218960028,446,2.53421268238479,1.1978767248350157,0.125,0.002242152466367713,18.28378
2800,0.20716716716716715,-0.025215934415615125,0.365771163509857,1.7655846170581135,2.2683686923169124,0.125,0.6541201754716941,0.43687669114804795,2.36567242281528,8,0.784654696151687,6.604606086236366,446,2.5387311323469,1.1943989431968296,0.125,0.002242152466367713,18.332
2825,0.20790790790790792,-0.013699334550774454,0.3663360616273471,1.7620111967535856,2.269251416641813,0.14285714285714285,0.6554741833598615,0.428781896966779,2.357154200412895,8,0.7740650863675171,6.542544818539572,430,2.5301131778843597,1.170460519398591,0.125,0.002325581395348837,18.31593
2850,0.2072252252252252,-0.01642577790407644,0.3649344501444319,1.7610522548487932,2.2668026884301486,0.14285714285714285,0.6517188356714423,0.4273251601310031,2.3491422805247226,8,0.7628179728013708,6.557607400658771,430,2.5332028202514323,1.1709641552390533,0.125,0.002325581395348837,18.2677
